"MakeModel";"Alias";"ModelId"
Aero Design AC680S;AC680S Mercane N12345;25
Aero Design AC680S;AC680S Moon;25
Aero Design AC680S;AC680S N66P08;25
Aero Design AC680S;AC680S NA N680LB;25
Aero Design AC680S;AC680S NC7345;25
Aero Design AC680S;AC680S Ndoki VC;25
Aero Design AC680S;AC680S NOVA Air VC;25
Aero Design AC680S;AC680S Pegasus NO VC;25
Aero Design AC680S;AC680S Pegasus VC;25
Aero Design AC680S;AC680S Pegasus VC Liz;25
Aero Design AC680S;AC680S PT-BUF;25
Aero Design AC680S;AC680S PT-BUF VC;25
Aero Design AC680S;AC680S PT-BUF VC WIP;25
Aero Design AC680S;AC680S PT-BUF VC WIPa;25
Aero Design AC680S;AC680S PT-CP VCCP;25
Aero Design AC680S;AC680S Racing;25
Aero Design AC680S;AC680S Safari;25
Aero Design AC680S;AC680S SassyRose;25
Aero Design AC680S;AC680S Valiant;25
Aero Design AC680S;AC680S VC NA N680LB;25
Aero Design AC680S;AC680S Virtual Allied Air;25
Aero Design AC680S;AC680S Yukon Air VC;25
Aero Design AC680S;AC680SPegasusVC;25
Aero Design AC680S;Aero Commander 680 Ike;25
Aero Design AC680S;Aero Commander 680 PT-BUF;25
Aero Design AC680S;Aero Design AC680S;25
Aero Design AC680S;Aero Grand Commander 680FL Kansas;25
Aero Design AC680S;Alaskan Winds AC680S;25
Aero Design AC680S;Contact Sales PTP AC680 02;25
Aero Design AC680S;Contact Sales PTP AC680 04;25
Aero Design AC680S;Rockwell Aero 680 N685RW;25
Aero Design AC680S;Rockwell Aero 685 DAIBC;25
Aero Design AC680S;Rockwell Aero 685 GWYXQ;25
Aero Design AC680S;Rockwell Aero 685 N685AC;25
Aero Design AC680S;Rockwell Aero 685 N685RW;25
Aero Design AC680S;Rockwell Aero 685 N7UP;25
Aero Design AC680S;Rockwell Commander 680S Ike;25
Aero Design AC680S;Rockwell Commander 680S Ike VC;25
Aero Design AC680S;Rockwell Commander 680S MaxFreight;25
